INFO  - 2016-06-30 09:34:18.054; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/dist/solr-langid-4.10.4.jar' to classloader
INFO  - 2016-06-30 09:34:18.071; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2016-06-30 09:34:18.072; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2016-06-30 09:34:18.072; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2016-06-30 09:34:18.074; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2016-06-30 09:34:18.076; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/dist/solr-velocity-4.10.4.jar' to classloader
INFO  - 2016-06-30 09:34:19.602; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2016-06-30 09:34:19.622; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.4
INFO  - 2016-06-30 09:34:19.812; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2016-06-30 09:34:19.828; org.apache.solr.schema.IndexSchema; Reading Solr Schema from /root/project/main/solr-4.10.4/example/solr/collection1/conf/schema.xml
INFO  - 2016-06-30 09:34:19.948; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2016-06-30 09:34:21.380; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2016-06-30 09:34:21.404; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2016-06-30 09:34:21.407; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2016-06-30 09:34:21.571; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2016-06-30 09:34:21.589; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2016-06-30 09:34:21.855; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /root/project/main/solr-4.10.4/example/solr/collection1/
INFO  - 2016-06-30 09:34:21.887; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
